latitude,longitude,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1.27962,103.83986,41,0.75,9,65
1.3151,103.8585,9,0.17,3,211
1.3114,103.88322,25,0.47,37,353
1.31779,103.85225,13,0.26,3,365
1.31539,103.82758,14,0.27,19,0
1.30244,103.84733,9,0.17,67,55
1.32845,103.94697,43,0.83,13,84
1.32611,103.84476,42,0.77,203,365
1.31489,103.84165,1,0.02,2,0
1.2856,103.82841,7,0.13,1,0
1.32815,103.86575,25,0.46,203,309
1.31039,103.8845,4,0.72,5,359
1.34159,103.95868,41,0.75,13,55
1.30514,103.85597,158,3.05,10,122
1.34144,103.95809,29,0.54,13,75
1.30402,103.85423,198,3.61,10,0
1.30376,103.85471,170,3.19,10,105
1.30543,103.85647,188,3.44,10,96
1.30541,103.85508,153,2.95,10,58
1.30386,103.85459,246,4.49,10,63
1.31281,103.84826,22,0.41,5,336
1.30197,103.89935,10,0.62,1,344
1.31243,103.88441,8,0.15,5,353
1.31005,103.87613,1,0.02,5,364
1.34489,103.8724,3,0.05,1,0
1.2761,103.84071,2,0.1,4,364
1.27493,103.84029,5,0.11,4,364
1.3291,103.88257,7,0.16,2,363
1.27574,103.83632,45,0.84,6,89
1.3195,103.84791,238,4.39,3,329
1.31773,103.84633,191,3.56,3,351
1.31372,103.848,18,0.35,5,343
1.30953,103.85958,9,0.17,16,351
1.35162,103.70342,54,0.99,1,365
1.29891,103.84659,44,0.81,6,83
1.31164,103.79555,14,0.26,14,359
1.44201,103.82403,3,0.07,7,364
1.44299,103.79424,107,2.02,3,11
1.32568,103.85009,12,0.22,203,364
1.29473,103.83885,27,0.5,84,77
1.44196,103.7939,64,1.22,3,45
1.32574,103.85181,6,0.11,203,364
1.30527,103.83424,25,0.76,38,208
1.30372,103.83478,14,0.42,38,280
1.31494,103.90681,11,0.2,8,332
1.36515,103.87495,7,0.16,5,363
1.31263,103.79793,10,0.2,1,0
1.31208,103.88475,3,0.06,1,0
1.29523,103.84039,8,0.17,84,86
1.30258,103.84811,24,0.46,67,48
1.28209,103.85191,16,0.3,1,0
1.34587,103.96046,151,2.97,7,365
1.34495,103.96043,285,5.4,7,365
1.34463,103.96107,296,5.56,7,0
1.35015,103.69571,19,0.36,2,264
1.29638,103.83975,37,0.7,84,70
1.31621,103.85614,16,0.34,12,49
1.31677,103.90182,6,0.11,1,0
1.35177,103.69583,14,0.27,2,292
1.32584,103.85379,21,0.4,203,254
1.30086,103.85439,195,3.67,1,59
1.2843,103.84738,133,2.51,1,0
1.28407,103.84385,34,0.66,67,125
1.3991,103.89017,83,1.61,1,356
1.31642,103.85776,42,0.83,12,318
1.34471,103.96249,245,4.64,7,263
1.30218,103.86036,5,0.1,4,0
1.30162,103.86022,39,0.74,4,0
1.30223,103.86083,23,0.45,4,0
1.29376,103.82802,8,0.16,1,0
1.37854,103.96119,43,0.82,1,166
1.41621,103.84424,11,0.35,2,330
1.31137,103.79544,8,0.16,14,356
1.31534,103.85822,83,1.58,12,320
1.31934,103.91574,5,0.1,24,342
1.29467,103.83839,56,1.06,84,62
1.31466,103.88736,68,1.31,67,0
1.29504,103.82971,6,0.13,4,149
1.36634,103.76963,33,0.63,1,0
1.31323,103.88802,130,2.47,84,41
1.30067,103.8392,118,2.32,1,46
1.31443,103.88751,124,2.36,84,61
1.31648,103.89486,62,1.18,67,72
1.31394,103.8866,51,1.01,84,33
1.31585,103.88554,24,0.46,67,89
1.31414,103.8881,79,1.53,67,120
1.3156,103.88776,26,0.49,67,73
1.31312,103.88663,29,0.56,84,68
1.34468,103.96102,263,5.02,7,0
1.32112,103.91641,3,0.06,24,350
1.28563,103.845,22,0.42,67,47
1.28362,103.84509,24,0.47,67,81
1.31352,103.88728,75,1.46,84,74
1.29297,103.76953,3,0.08,9,350
1.37741,103.84776,2,0.04,2,0
1.32734,103.84433,26,0.51,67,365
1.27495,103.83571,162,3.13,1,289
1.31265,103.9366,8,0.16,4,303
1.31238,103.79542,9,0.18,14,347
1.29154,103.76891,2,0.05,9,0
1.28368,103.84563,25,0.49,84,60
1.42803,103.78584,11,0.23,1,266
1.29561,103.84035,21,0.41,84,45
1.28359,103.84564,21,0.58,67,117
1.28342,103.84553,44,1.06,67,117
1.32958,103.88464,15,0.3,2,352
1.28026,103.85296,1,0.02,41,364
1.35586,103.75322,2,0.14,1,66
1.28326,103.84318,1,0.03,83,343
1.29584,103.82675,2,0.04,1,0
1.28985,103.84782,6,0.12,1,0
1.36895,103.76637,1,0.02,2,26
1.31322,103.87976,99,3.26,14,77
1.30291,103.84871,4,0.08,1,0
1.31532,103.8874,50,0.97,67,65
1.42841,103.83065,22,0.44,1,0
1.31644,103.88702,59,1.14,23,51
1.31314,103.88681,48,0.94,84,61
1.3132,103.88757,60,1.18,84,0
1.30288,103.84825,3,0.06,67,0
1.31174,103.79713,1,0.02,1,0
1.32786,103.84907,35,0.68,203,316
1.29628,103.84034,23,0.45,4,363
1.31097,103.8826,115,2.22,37,319
1.28107,103.84132,115,2.24,9,105
1.28315,103.83406,3,0.06,1,260
1.29361,103.76746,34,0.67,2,115
1.28374,103.83513,28,0.55,26,333
1.34486,103.76871,2,0.04,1,365
1.32089,103.91503,2,0.13,24,301
1.28357,103.82995,11,1.25,26,349
1.29289,103.84007,2,0.04,1,0
1.43972,103.8226,8,0.18,7,362
1.28214,103.83121,3,0.06,26,326
1.31452,103.88589,22,0.43,67,83
1.31015,103.85967,1,0.03,16,351
1.31364,103.88734,55,1.13,84,51
1.32401,103.853,3,0.1,3,42
1.32831,103.84834,13,0.29,203,319
1.34471,103.86898,90,1.84,3,333
1.313,103.85922,11,0.22,2,256
1.30531,103.78374,18,0.37,1,280
1.31152,103.84027,2,0.04,1,0
1.37734,103.75464,1,0.02,1,0
1.31467,103.88749,40,0.78,84,74
1.31374,103.88752,99,1.95,67,73
1.31375,103.88663,28,0.55,67,0
1.31683,103.91109,11,0.23,2,54
1.29209,103.84109,27,0.53,1,0
1.44154,103.82393,1,0.02,2,364
1.33331,103.94124,3,0.06,1,0
1.30205,103.85804,2,0.07,7,233
1.34399,103.87076,51,1.02,3,74
1.34604,103.87111,70,1.38,3,341
1.3125,103.91188,25,0.49,6,365
1.29453,103.83733,111,2.19,2,3
1.44151,103.82377,2,0.04,7,364
1.31806,103.85172,4,0.1,1,0
1.38056,103.75988,7,0.15,3,325
1.28777,103.84907,74,1.46,1,270
1.30728,103.78113,21,0.41,1,291
1.31406,103.88626,2,0.04,1,0
1.31584,103.85582,67,1.33,12,311
1.31117,103.88298,79,1.56,37,340
1.28376,103.83965,3,0.09,1,157
1.30886,103.86363,1,0.02,83,362
1.30854,103.86291,4,0.12,112,354
1.28343,103.84512,44,0.9,84,69
1.27988,103.85065,34,0.68,4,38
1.30233,103.84643,30,0.67,2,0
1.29432,103.82612,18,0.4,2,365
1.31887,103.77462,1,0.02,1,0
1.31333,103.90434,19,0.54,2,0
1.29647,103.83779,129,2.6,2,5
1.27946,103.85592,22,0.43,4,38
1.31496,103.88691,30,0.6,67,32
1.3144,103.88671,81,1.61,67,127
1.3143,103.88604,17,0.34,67,52
1.30898,103.91219,72,1.45,1,0
1.31536,103.88574,62,1.23,67,43
1.28411,103.83254,9,0.18,26,292
1.3123,103.86255,1,0.07,112,331
1.3026,103.85195,248,4.99,1,229
1.27967,103.85539,49,0.97,4,38
1.32402,103.85313,7,0.15,1,2
1.30105,103.84786,226,4.49,2,228
1.3865,103.89341,2,0.04,2,365
1.3148,103.88593,16,0.61,67,90
1.32618,103.85394,12,0.35,114,275
1.31737,103.85084,1,0.02,1,363
1.31509,103.80398,15,0.3,1,0
1.28618,103.79122,1,0.02,1,0
1.30331,103.84848,3,0.06,1,0
1.31405,103.88619,29,0.6,67,84
1.314,103.88576,18,0.38,67,64
1.32087,103.91189,133,2.68,2,0
1.27516,103.8453,4,0.08,1,0
1.28305,103.82722,25,0.51,1,0
1.31382,103.88744,5,0.1,84,83
1.30623,103.78258,9,0.24,2,0
1.3118,103.79917,3,0.06,1,0
1.27242,103.80923,37,1.13,1,319
1.30798,103.78604,25,0.5,2,0
1.31267,103.87457,58,1.16,7,269
1.31791,103.85083,14,0.28,1,0
1.31575,103.88392,42,1.07,2,0
1.31553,103.8909,5,0.1,3,0
1.28283,103.83109,1,0.02,3,0
1.43537,103.77406,1,0.08,1,363
1.36949,103.76564,20,0.4,2,193
1.27832,103.83774,9,0.18,5,364
1.27876,103.82701,6,0.12,3,0
1.28084,103.82894,1,0.02,3,0
1.30649,103.84785,4,0.08,203,243
1.28273,103.83349,13,0.26,26,220
1.28446,103.83441,6,0.12,26,208
1.31441,103.9127,4,0.08,1,363
1.41061,103.90128,2,0.04,1,0
1.33317,103.72422,23,0.57,2,0
1.34207,103.71739,2,0.04,1,0
1.3528,103.86583,3,0.06,1,0
1.38496,103.84138,5,0.1,1,239
1.27383,103.84634,1,0.02,3,180
1.31569,103.88784,21,0.44,67,84
1.31306,103.89173,1,0.02,3,0
1.28539,103.83356,34,0.68,26,303
1.31286,103.88659,23,0.49,2,36
1.31898,103.84614,142,2.88,2,283
1.32281,103.85133,5,0.1,1,365
1.32214,103.84917,46,0.95,1,335
1.3426,103.71501,28,0.62,2,299
1.32101,103.9255,4,0.08,1,0
1.31481,103.88701,59,1.18,67,70
1.28425,103.84296,2,0.13,83,354
1.31489,103.88798,46,0.92,84,36
1.29484,103.83859,46,1.07,48,343
1.39037,103.83532,59,1.2,1,0
1.38404,103.89558,5,0.1,2,0
1.35419,103.87758,1,0.02,1,0
1.30155,103.79117,89,2.2,1,101
1.3549,103.75239,1,0.02,1,0
1.37175,103.8475,108,2.2,1,222
1.27377,103.84523,96,2.15,10,347
1.31339,103.88609,27,0.55,67,77
1.274,103.84603,11,0.28,10,364
1.27843,103.84614,37,0.81,10,354
1.2745,103.84656,30,0.7,10,0
1.27829,103.84485,32,0.7,10,365
1.29795,103.83012,13,0.26,1,325
1.3055,103.84008,65,1.55,6,132
1.31245,103.87858,3,0.06,1,0
1.31443,103.90604,5,0.12,8,361
1.31544,103.88674,6,0.13,84,87
1.27718,103.82167,291,6.05,1,186
1.29611,103.84064,57,1.15,84,58
1.33734,103.92298,22,0.46,1,171
1.26714,103.81071,112,2.34,14,336
1.32795,103.84354,11,0.24,203,275
1.31373,103.88803,12,0.24,84,89
1.30298,103.85774,3,0.12,7,233
1.30702,103.86212,1,0.03,112,359
1.30805,103.89592,207,4.19,8,53
1.31381,103.88682,64,1.34,84,65
1.31551,103.88613,22,0.46,84,76
1.41016,103.84466,5,0.12,6,347
1.35285,103.75816,7,0.14,2,365
1.30726,103.86185,3,0.06,83,360
1.29325,103.82334,11,0.25,3,230
1.3125,103.93606,123,2.48,1,262
1.29922,103.86215,14,0.29,1,0
1.38424,103.89553,25,0.52,2,104
1.34036,103.68779,9,0.19,2,271
1.31228,103.8761,26,1.16,7,179
1.31083,103.88456,2,0.04,7,365
1.29667,103.83883,40,0.81,84,76
1.33903,103.68782,4,0.08,2,200
1.31743,103.77955,56,1.17,8,270
1.31236,103.82572,2,0.04,1,0
1.31209,103.85757,9,0.19,2,17
1.40029,103.90401,1,0.79,2,365
1.27439,103.84083,28,0.57,1,364
1.32741,103.86411,22,0.45,2,0
1.29506,103.83996,38,0.78,84,61
1.4401,103.82477,1,0.02,7,364
1.31182,103.90644,202,4.13,4,0
1.31403,103.90645,262,5.33,4,0
1.31186,103.88136,10,0.2,37,362
1.31138,103.88157,26,0.53,37,358
1.31153,103.88267,15,0.31,37,365
1.31422,103.90481,285,5.86,4,0
1.34509,103.71449,4,0.1,2,339
1.3155,103.88591,42,0.86,67,76
1.31393,103.87216,10,0.21,1,358
1.30838,103.86142,3,0.06,112,359
1.29614,103.83967,28,0.58,84,70
1.30521,103.84253,10,0.21,1,0
